"Gas.Utility","Electric.Utility","Customer.Type","Total.Project.Cost","Total.Incentives","Fuel.Type","Year.Home.Built","Size.of.Home","Measure.Type","FYES","HRGJ"
1,5,1,5900,2950,1,1947,2398,1,474,2
1,6,1,9980,3250,11,1966,1092,1,111,2
9,5,1,5000,2500,9,1928,1616,1,61,2
1,5,1,4200,2088,1,1971,980,1,681,2
1,5,1,5890,2945,11,1984,940,1,146,2
1,8,1,6620,3310,10,1850,2464,1,15,2
14,8,1,10591,5000,9,1964,945,1,286,2
10,5,1,1600,800,1,1983,1652,1,26,2
1,6,1,19600,5000,1,1830,2040,1,1166,2
1,5,1,6600,3300,10,1987,1680,1,142,2
9,5,1,2145,1073,9,1941,1140,1,12,2
1,8,1,4420,2210,6,1991,3198,1,179,2
1,5,1,2900,1450,1,1951,1500,1,79,2
1,5,1,5870,2935,10,1900,1336,1,163,2
1,2,2,23724,0,10,1930,2839,1,1830,2
1,5,2,6810,0,10,1973,2340,1,1166,2
1,5,2,7300,0,10,1900,2251,1,310,2
10,5,1,4500,2250,1,1936,1800,1,388,2
10,5,1,8000,4000,9,1955,1632,1,327,2
14,8,2,12400,0,9,1974,800,1,141,2
10,5,2,4030,0,9,1948,1588,1,13,2
1,8,1,6600,3300,11,1980,1056,1,155,2
1,2,2,26038,0,6,1966,3308,1,4335,2
1,5,1,10062,4000,10,1839,2640,1,379,2
1,5,2,8887,0,11,1982,984,1,48,2
1,8,2,4400,0,11,2008,1820,1,34,2
1,5,2,4090,0,11,2018,1525,1,4,2
14,8,2,4957,0,9,1989,1300,1,78,2
1,8,2,10200,0,11,2005,1711,1,132,2
10,5,2,2700,0,9,1957,1000,1,123,2
11,6,2,5345,0,9,1950,2632,1,122,2
14,8,2,5500,0,9,1952,2055,1,77,2
10,5,1,2660,1330,9,1918,1446,1,116,2
1,8,2,6000,0,11,1976,1530,1,151,2
1,5,2,13400,0,1,1840,2350,1,916,2
1,5,2,4598,0,6,1958,844,1,507,2
10,5,1,2560,1255,13,1957,1728,1,224,2
10,5,2,7000,0,9,2009,2012,1,291,2
14,8,2,5095,0,9,1956,1426,1,29,2
14,8,2,3500,0,9,1968,2000,1,72,2
1,5,1,6450,3200,11,1921,920,1,920,2
9,5,1,8415,2223,9,1953,1182,1,40,2
