"Gas.Utility","Electric.Utility","Customer.Type","Total.Incentives","Fuel.Type","Year.Home.Built","Size.of.Home","Measure.Type","FYES","HRGJ"
1,5,1,2950,1,1947,2398,1,474,2
1,6,1,3250,11,1966,1092,1,111,2
9,5,1,2500,9,1928,1616,1,61,2
1,5,1,2088,1,1971,980,1,681,2
1,5,1,2945,11,1984,940,1,146,2
1,8,1,3310,10,1850,2464,1,15,2
14,8,1,5000,9,1964,945,1,286,2
1,6,1,5000,1,1830,2040,1,1166,2
9,5,1,1073,9,1941,1140,1,12,2
1,5,1,1450,1,1951,1500,1,79,2
1,2,2,0,10,1930,2839,1,1830,2
1,5,2,0,10,1973,2340,1,1166,2
1,5,2,0,10,1900,2251,1,310,2
10,5,1,2250,1,1936,1800,1,388,2
10,5,1,4000,9,1955,1632,1,327,2
14,8,2,0,9,1974,800,1,141,2
10,5,2,0,9,1948,1588,1,13,2
1,8,1,3300,11,1980,1056,1,155,2
1,5,1,4000,10,1839,2640,1,379,2
1,8,2,0,11,2008,1820,1,34,2
1,8,2,0,11,2005,1711,1,132,2
10,5,2,0,9,1957,1000,1,123,2
10,5,1,1330,9,1918,1446,1,116,2
1,5,2,0,1,1840,2350,1,916,2
1,5,2,0,6,1958,844,1,507,2
10,5,1,1255,13,1957,1728,1,224,2
10,5,2,0,9,2009,2012,1,291,2
14,8,2,0,9,1968,2000,1,72,2
1,5,1,3200,11,1921,920,1,920,2
9,5,1,2223,9,1953,1182,1,40,2
1,5,1,3995,11,2002,2970,1,788,2
1,6,1,2700,11,1990,1265,1,343,2
10,5,2,0,9,1955,1102,1,79,2
1,5,2,0,10,1988,1702,1,454,2
1,5,1,2798,10,1900,2250,1,326,2
14,8,1,3900,9,1920,2400,1,293,2
1,5,1,1570,12,2000,1600,1,493,2
1,6,2,0,10,1870,2180,1,73,2
1,2,2,0,10,1921,2360,1,2038,2
1,8,1,2515,10,1985,1248,1,73,2
1,2,1,1083,10,1960,1724,1,178,2
1,2,2,0,10,1975,2378,1,2576,2
14,8,2,0,9,1969,1394,1,30,2
3,2,2,0,9,1998,2392,1,235,2
1,5,1,3490,10,1950,1665,1,42,2
10,5,2,0,9,1890,1107,1,289,2
1,5,1,1875,10,1925,1456,1,1209,2
1,5,2,0,11,1958,1160,1,129,2
1,5,1,2993,11,1900,2044,1,402,2
14,8,1,3419,9,1950,1024,1,305,2
13,7,1,1450,9,1959,2448,1,172,2
1,5,2,1027,11,1850,2270,1,1021,2
1,5,2,0,11,1972,1400,1,177,2
1,2,2,1277,10,1953,1392,1,562,2
1,5,1,3977,11,1920,1219,1,279,2
1,6,1,3859,10,1948,2294,1,523,2
1,6,2,1353,10,1925,3000,1,1446,2
1,5,1,991,10,1900,2898,1,2175,2
1,3,1,2611,10,1941,3239,1,697,2
1,2,1,5000,10,1923,1621,1,894,2
1,5,2,462,10,1890,1599,1,373,2
1,5,2,702,10,1925,2023,1,1809,2
1,6,2,1973,10,1950,1629,1,1156,2
10,5,2,294,9,1925,2053,1,219,2
1,8,1,3817,10,1965,1155,1,450,2
10,5,2,125,9,2001,1976,1,100,2
1,7,1,4497,10,1975,1920,1,914,2
1,1,2,1133,10,1988,3210,1,1040,2
1,6,2,1131,11,1920,1668,1,330,2
10,5,1,2950,9,1960,2253,1,195,1
1,3,1,3999,10,1901,1870,1,404,2
1,2,2,936,10,1920,2000,1,541,2
10,5,2,656,9,1942,3134,1,327,2
1,2,2,991,10,1880,3321,1,2022,2
10,5,1,5000,9,1928,1680,1,1490,2
1,3,2,1010,10,1867,1713,1,2664,1
1,2,2,664,10,1959,4000,1,1007,2
1,5,1,3210,12,1971,1335,1,863,2
10,5,2,808,9,1900,1248,1,476,2
1,6,1,4456,10,1960,930,1,1570,2
9,5,2,221,9,1910,2220,1,346,2
1,5,2,652,10,1900,1811,1,233,2
10,5,1,2661,9,1975,1064,1,600,2
1,3,2,594,10,1964,2325,1,1000,2
1,5,2,625,10,1920,1690,1,156,2
1,5,1,2533,11,1980,1264,2,917,2
1,3,2,765,10,1955,914,1,1144,2
1,5,2,390,11,1900,2013,1,368,2
1,5,2,384,10,1850,1900,1,1782,2
1,3,2,1027,10,1978,2350,1,3758,2
1,3,2,970,10,1957,2123,1,2064,1
1,3,1,5000,10,1920,2054,1,1061,2
1,5,2,103,10,1900,2516,1,104,2
1,5,2,178,10,1975,960,1,235,2
1,5,1,525,10,1842,1872,1,123,1
1,3,1,5000,10,1921,2970,1,2134,2
1,3,1,2000,10,1955,2245,1,1035,2
